_id,project_title,project_job_number,bb_encore_clients.name,client_project_number,accreditationISbb_encore_accreditation_typesID,client_contact_1ISbb_encore_client_contactsID,client_contact_2ISbb_encore_client_contactsID,client_contact_3ISbb_encore_client_contactsID,client_contact_4ISbb_encore_client_contactsID,client_contact_preferred_email_recipient_numberNUM,client_contact_email_listISsmallplaintextbox,project_detailISsmallplaintextbox,internal_notesISsmallplaintextbox,external_notesISsmallplaintextbox,feedback_service_commentsISsmallplaintextbox,feedback_continuous_improvementISsmallplaintextbox,feedback_positive_aspectsISsmallplaintextbox,main_supplierISbb_encore_suppliersID,main_supplier_notesISsmallplaintextbox,main_supplier2ISbb_encore_suppliersID,main_supplier2_notesISsmallplaintextbox,main_supplier3ISbb_encore_suppliersID,main_supplier3_notesISsmallplaintextbox,site_address1,site_address2,site_address3,site_city,site_postcode,services_start_date,project_end_date,project_length,project_budget,floor_area_m2NUM,forecast_adjust_percentNUM,Senior_Project_ManagerISbb_encore_client_contactsID,Project_ManagerISbb_encore_client_contactsID,Shell_And_Core_Contractor,Contracts_Manager,Contracts_Manager_Contact_DetailsISsmallplaintextbox,Contracts_Manager_Email_Address,Strip_Out_ProjectYN,Strip_Out_Contractor,Strip_Out_Contact,Strip_Out_Contact_DetailsISsmallplaintextbox,Strip_Out_Contact_Email_Address,Document_Controller,Document_Controller_Contact_DetailsISsmallplaintextbox,Document_Controller_Email_Address,Waste_Contractor,Waste_CoordinatorISbb_usersID_IN_Staff,encore_operations_managerISbb_usersID_IN_Staff,encore_operations_directorISbb_usersID_IN_Staff,considerate_constructor_schemeYN,BREEAM_Assessor,BREEAM_Assessor_AddressISsmallplaintextbox,BREEAM_Assessor_Contact_DetailsISsmallplaintextbox,BREEAM_rating_Target,BREEAM_dashboard_targetNUM,SKA_Assessor,SKA_Assessor_Contact_DetailsISsmallplaintextbox,SKA_rating_Target,PCEA_requiredYN,PCEA_sent_date,waste_min_opt_demolitISLIST_Client_Encore_Both_Other,waste_min_opt_purchISLIST_Client_Encore_Both_Other,waste_min_opt_storageISLIST_Client_Encore_Both_Other,waste_min_opt_handlingISLIST_Client_Encore_Both_Other,waste_min_opt_materialsISLIST_Client_Encore_Both_Other,waste_min_opt_material_suppISLIST_Client_Encore_Both_Other,waste_min_opt_proj_natureISLIST_Client_Encore_Both_Other,remp_additional_pdf01ISfile,override_client_color,procurement_sheetISfile,rate_cardISfile,send_automated_emailsYN,uninvoiced_total_thresholdNUM,non_remp_projectYN,archive_projectYN,_apikey,_deleted,_authorid,_dateadded,_modifierid,_datemodified
1,Rackspace,PARRAC0658,"Interserve Construction Ltd ( Paragon Div )",8510,,1,,,,,,,,,,,,11,,,,,,"Building 5","Rackspace City","Millington Road",,"UB3 4AZ","2015-06-28 00:00:00","2015-12-28 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,c2ba11c8330d53c4344f3f96441ccca3,0,1,"2016-01-21 09:00:17",-1,"2016-08-01 16:26:52"
4,"Interserve Construction Ltd (Paragon div) - RPS East Smithfield",PARES0506,"Interserve Construction Ltd ( Paragon Div )",7122,,19,,,,,,,"John Fisher street on the corner of East Smithfield. Please call Brian prior to arrival for instructions.","test site notes",,,,176,,,,,,"66 East Smithfield",,,London,"E1W 1AW","2016-06-02 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,1,1,b8c21321ad5f565a76f8b34b1afc4511,0,7,"2016-02-09 12:33:35",9,"2019-02-20 11:01:54"
5,"Gloucester Terrace",PARGT0503,"Interserve Construction Ltd ( Paragon Div )",8501,,2,,,,,,,,,,,,180,,176,,,,"Royal Court Apartments","51 Gloucester Terrace",,London,"W2 3DQ","2014-05-12 00:00:00","2016-04-01 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/5/Paragon_Central_London_Rates_April_2016_April_2017V1.pdf,1,2500.00000000,0,1,1cfd8eba9520f9e7204b7aca50fbb031,0,7,"2016-02-09 12:58:24",9,"2017-05-03 10:28:37"
6,"Eagle House",PAREAG1031,"Interserve Construction Ltd ( Paragon Div )",5126,,4,39,,,,,,,,,,,,,,,,,"161 City Road",,,London,"EC1V 1NR","2015-10-20 00:00:00","2016-03-01 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,bd0fb8ed32c8c35de184008a0f88f70b,0,7,"2016-02-09 13:08:25",-1,"2016-08-01 16:35:50"
7,"New Loom House",PARLOO0344,"Interserve Construction Ltd ( Paragon Div )",8507,,60,5,269,,,,,,,,,,180,,216,,134,,"101 Back Lane",,,London,"E1 1LU","2015-03-16 00:00:00","2016-02-28 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,8ed59a30eeb8a64cd49cc84b43437212,0,7,"2016-02-09 13:12:56",7,"2016-12-05 09:49:55"
8,"Plantation Place",PARPLA0345,"Interserve Construction Ltd ( Paragon Div )",8508,,164,,,,,,,,,,,,,,,,,,"Plantation Place","30 Fenchurch Street",,London,"EC3M 3BD","2015-03-20 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,0,1,52c8d36db36211e07c64ccb2134f8200,0,7,"2016-02-09 13:14:28",7,"2017-02-03 14:25:45"
9,"MOJ Taylor House",PARTH0984,"Interserve Construction Ltd ( Paragon Div )",4162,,53,67,,,,,,,,,,,176,,180,,134,,"88 Rosebery Avenue",,,London,"EC1R 4QU","2015-10-19 00:00:00","2016-03-31 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,0,1,f1bd6fc883baceffe2f14d19198e08f7,0,7,"2016-02-09 13:16:47",7,"2017-02-03 14:19:21"
10,"Osbourne Clarke",PAROC1294,"Interserve Construction Ltd ( Paragon Div )",7146,,1,,,,,,,,,,,,,,,,,,"2nd Floor","3 Forbury Place",,Reading,"RG1 3JD","2015-12-04 00:00:00","2016-03-21 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,89fdbdcdea0600596bea2ed6dedc41d5,0,7,"2016-02-09 13:18:12",-1,"2016-08-01 16:39:33"
11,"V&A Museum Lift Refurbishment",PARVAA011697,"Interserve Construction Ltd ( Paragon Div )",4172,,69,,,,,,,,,,,,,,,,,,"Victoria and Albert Museum","Cromwell Road",,London,"SW7 2RL","2016-01-11 00:00:00","2016-04-29 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,8e3e8de2b0601b3a9d09eb7bc9f5ba09,0,7,"2016-02-09 13:20:10",-1,"2016-08-01 16:41:09"
12,"Heston Centre",PARHC011698,"Interserve Construction Ltd ( Paragon Div )",1023,,28,149,,,,,,,,,,,,,,,,,"Units 7A, 7B & 7C The Heston Centre","International Avenue",Hunslow,Middlesex,"TW5 9NJ","2016-01-19 00:00:00","2016-04-12 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,75d8e5b9cd4f658e88f0841d92bc110c,0,7,"2016-02-09 13:22:49",-1,"2016-08-01 16:38:24"
