_id,code,name,telephone,email,client_address1,client_address2,client_address3,client_city,client_postcode,remp_client_contactISbb_encore_client_contactsID,debtorISbb_usersID_IN_Debtors,vatableYN,calendar_color,logoISfile,waste_coordinatorISbb_usersID_IN_Staff,xero_account_number,sic_code,uninvoiced_total_thresholdNUM,archivedYN,_apikey,_deleted,_authorid,_dateadded,_modifierid,_datemodified
1,PAR01,"Interserve Construction Ltd ( Paragon Div )","020 3457 9800",INFO@INTPARAGON.COM,"30 Eastcheap","Billingsgate,",,London,"EC3M 1HD",,,1,#0033FF,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/1/Logo.PNG,20,INTER02,41201,1.00000000,0,030cc58f1522a21421186bdc53f1025d,0,1,"2016-01-21 10:57:00",9,"2020-12-02 15:40:52"
2,OVE01,"Overbury Central","0121 748 8600",danny.parmar@overbury.com,"207 Fort Dunlop","Fort Parkway",,Birmingham,"B24 9FD",,,1,#FFCC33,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/2/overbury1.png,9,OVE001,41201,1.00000000,0,71197dc4c03d9365a718b11dfa14665c,0,7,"2016-02-09 11:32:24",9,"2019-12-09 10:46:26"
3,COL01,"Collins Construction Ltd","020 8681 4500",p.martin@collins-construction.com,"No 1",Croydon,"12 -16 Addiscombe Road",,"CR0 0XT",468,,1,#FF6600,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/3/collins logo.jpg",9,COL001,41201,1.00000000,1,bb3f6c1f791b71831c9e01b964627c8e,0,7,"2016-02-09 11:41:02",9,"2019-11-27 20:19:52"
4,BRO01,"Brown and Bancroft",01619740200,sales@brownandbancroft.co.uk,"St Georges House","St Georges Road",Bolton,,"BL1 2EN",,,1,#CC00FF,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/4/B&B Interiors.png",,,41201,1.00000000,1,5c7dc47eb5b5e08f579e6be73f374d65,0,7,"2016-02-09 11:41:30",32,"2019-11-28 11:08:39"
5,DSG01,"DSG Retail Plc (Currys)","0344 561 1234",customer.services@currys.co.uk,"1 Portal Way,",,,London,"W3 6RS",,,1,#99CC00,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/5/Currys.png,9,DSG001,41201,1.00000000,1,fc505945713356f96a4a355503ebccbd,0,7,"2016-02-09 11:43:46",32,"2019-11-28 11:27:02"
6,ONE01,"One Hundred Partnership","020 7928 0607",info@onehundredpartnerships.com,"1-5 Clerkenwell Road",,,London,"EC1M 5PE",,,1,#FF0000,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/6/100.png,9,OHP001,41201,1.00000000,1,da6fbc7229e226894696113b131d7136,0,7,"2016-02-09 11:44:04",32,"2019-11-28 12:08:04"
7,INT01,"Interserve Construction","0203 267 1200",info@interserve.com,"91 Waterloo Road",Lambeth,,London,"SE1 8RT",,,1,#FF00CC,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/7/Interservelogo1.png,9,INTER01,41201,1.00000000,1,a2f0e8f980c26e4ce8570443f41acb43,0,7,"2016-02-09 11:44:23",9,"2019-11-27 20:24:09"
8,ART01,Artez,01204364777,mikeroberts@artezgroup.co.uk,"Unit C, Lostock Office Park,","Lynstock Way",Lostock,Bolton,"BL6 4SG",,,1,,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/8/Screen Shot 2016-10-04 at 15.54.25.png",9,ART001,41201,1.00000000,1,56ff8b6ec318ad867bf8b8c1c871b5b1,0,7,"2016-02-09 11:44:35",32,"2019-11-28 10:53:54"
9,LAN01,"Land Securities","0207 413 9000",enquiries@landsec.com,"100 Victoria Street",,,London,"SW1E 5JL",,,1,#00CCFF,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/9/Landsec.jpg,,LAN001,41201,1.00000000,1,21876f880669181bb85c4c446259d680,0,7,"2016-02-09 11:44:57",32,"2019-11-28 11:47:44"
10,ARE01,Area,02070896000,info@area.co.uk,"5th Floor","Counting House","53 Tooley Street",London,"SE1 2QN",,,1,#FF0066,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/10/area.jpg,9,ARE001,43999,1.00000000,1,409031f754a9121c9dae9ac606052e8f,0,7,"2016-02-09 13:47:21",32,"2019-12-19 12:33:12"
